Run_ID,Base_SIR,Base_SINR,Base_PESQ_NB,Base_PESQ_WB,Base_STOI,Raw_SIR,Raw_SINR,Raw_PESQ_NB,Raw_PESQ_WB,Raw_STOI,Gauss_SIR,Gauss_SINR,Gauss_PESQ_NB,Gauss_PESQ_WB,Gauss_STOI,GAN_SIR,GAN_SINR,GAN_PESQ_NB,GAN_PESQ_WB,GAN_STOI
batch_test_4999,0.01,-2.11,1.374,1.031,0.568,18.66,7.23,1.919,1.290,0.718,14.73,6.55,1.967,1.266,0.711,N/A,N/A,N/A,N/A,N/A
batch_test_5000,0.01,-2.15,1.303,1.035,0.540,21.58,9.20,1.987,1.396,0.666,16.02,8.32,2.033,1.421,0.656,N/A,N/A,N/A,N/A,N/A
batch_test_5001,-0.02,-2.18,1.305,1.056,0.603,14.28,7.51,1.813,1.247,0.758,12.21,6.98,1.840,1.231,0.737,N/A,N/A,N/A,N/A,N/A
batch_test_5002,-0.03,-2.15,1.241,1.030,0.705,19.21,7.52,1.761,1.227,0.828,13.95,6.81,1.690,1.211,0.813,N/A,N/A,N/A,N/A,N/A
batch_test_5003,0.00,-2.12,1.418,1.040,0.667,20.27,8.44,2.170,1.339,0.757,15.64,7.60,2.127,1.332,0.750,N/A,N/A,N/A,N/A,N/A
batch_test_5004,0.02,-2.13,1.539,1.063,0.739,24.73,8.66,2.155,1.422,0.866,20.67,8.31,2.155,1.435,0.860,N/A,N/A,N/A,N/A,N/A
batch_test_5005,0.00,-2.16,1.408,1.057,0.767,23.65,7.82,1.992,1.497,0.868,18.33,7.22,1.950,1.493,0.853,N/A,N/A,N/A,N/A,N/A
batch_test_5006,-0.02,-2.13,1.221,1.020,0.781,19.71,8.26,1.783,1.233,0.879,14.79,7.57,1.731,1.223,0.869,N/A,N/A,N/A,N/A,N/A
batch_test_5007,-0.02,-2.15,1.188,1.026,0.527,21.70,9.96,1.914,1.345,0.677,16.88,9.27,1.873,1.344,0.671,N/A,N/A,N/A,N/A,N/A
batch_test_5008,0.00,-2.13,1.287,1.027,0.584,22.10,11.01,1.939,1.294,0.659,20.82,10.45,1.933,1.313,0.660,N/A,N/A,N/A,N/A,N/A
batch_test_5009,0.03,-2.09,1.174,1.032,0.670,21.77,9.43,1.804,1.316,0.774,17.28,8.84,1.781,1.331,0.777,N/A,N/A,N/A,N/A,N/A
batch_test_5010,0.02,-2.12,1.166,1.022,0.713,22.84,8.85,1.679,1.250,0.771,20.11,8.33,1.618,1.213,0.765,N/A,N/A,N/A,N/A,N/A
batch_test_5011,-0.06,-2.13,1.462,1.059,0.512,18.78,9.73,1.899,1.291,0.647,14.48,8.94,1.882,1.286,0.638,N/A,N/A,N/A,N/A,N/A
batch_test_5012,-0.00,-2.10,1.265,1.023,0.548,20.90,8.83,1.641,1.165,0.672,15.68,8.39,1.687,1.189,0.655,N/A,N/A,N/A,N/A,N/A
batch_test_5013,-0.03,-2.18,1.284,1.050,0.515,18.36,4.73,1.731,1.112,0.650,15.03,5.27,1.744,1.155,0.653,N/A,N/A,N/A,N/A,N/A
batch_test_5014,-0.02,-2.17,1.178,1.077,0.382,14.98,-3.57,1.448,1.094,0.491,13.15,-2.12,1.428,1.085,0.493,N/A,N/A,N/A,N/A,N/A
batch_test_5015,-0.01,-2.14,1.201,1.025,0.664,17.68,4.52,1.584,1.144,0.748,14.17,4.55,1.669,1.183,0.746,N/A,N/A,N/A,N/A,N/A
batch_test_5016,-0.02,-2.14,1.195,1.081,0.551,22.40,11.66,1.494,1.132,0.652,18.48,10.96,1.529,1.166,0.659,N/A,N/A,N/A,N/A,N/A
batch_test_5017,-0.07,-2.19,1.221,1.027,0.765,30.51,10.50,1.932,1.362,0.859,24.77,10.43,1.932,1.366,0.856,N/A,N/A,N/A,N/A,N/A
batch_test_5018,-0.00,-2.13,1.318,1.042,0.593,22.02,8.45,2.120,1.342,0.754,15.57,7.72,1.973,1.318,0.725,N/A,N/A,N/A,N/A,N/A
batch_test_5019,0.03,-2.11,1.213,1.027,0.721,20.98,8.63,1.724,1.253,0.816,16.17,7.98,1.718,1.277,0.808,N/A,N/A,N/A,N/A,N/A
batch_test_5020,-0.01,-2.12,1.145,1.030,0.605,22.33,9.47,1.494,1.139,0.711,18.41,9.05,1.522,1.153,0.697,N/A,N/A,N/A,N/A,N/A
batch_test_5021,-0.03,-2.17,1.216,1.046,0.564,25.09,10.41,1.615,1.222,0.687,19.47,9.93,1.668,1.251,0.687,N/A,N/A,N/A,N/A,N/A
batch_test_5022,-0.03,-2.15,1.323,1.096,0.733,24.29,9.42,1.760,1.214,0.865,18.97,8.93,1.687,1.205,0.851,N/A,N/A,N/A,N/A,N/A
batch_test_5023,0.03,-2.13,1.561,1.100,0.589,21.59,8.75,2.147,1.397,0.694,16.37,8.10,2.154,1.406,0.693,N/A,N/A,N/A,N/A,N/A
batch_test_5024,-0.01,-2.13,1.310,1.028,0.574,24.66,9.52,2.093,1.433,0.676,20.88,8.85,2.059,1.386,0.671,N/A,N/A,N/A,N/A,N/A
batch_test_5025,-0.02,-2.11,1.510,1.083,0.546,24.65,9.70,2.190,1.540,0.701,18.93,9.07,2.097,1.431,0.684,N/A,N/A,N/A,N/A,N/A
batch_test_5026,-0.01,-2.12,1.231,1.071,0.657,23.36,10.91,1.973,1.315,0.814,18.79,10.13,1.978,1.296,0.801,N/A,N/A,N/A,N/A,N/A
batch_test_5027,-0.04,-2.16,1.189,1.042,0.656,20.27,9.11,1.796,1.216,0.799,16.14,8.38,1.752,1.186,0.779,N/A,N/A,N/A,N/A,N/A
batch_test_5028,0.01,-2.14,1.259,1.031,0.699,20.47,8.33,1.853,1.263,0.820,15.62,7.59,1.832,1.258,0.815,N/A,N/A,N/A,N/A,N/A
batch_test_5029,0.02,-2.10,1.491,1.051,0.557,23.97,10.61,1.870,1.387,0.698,18.82,9.86,1.886,1.405,0.695,N/A,N/A,N/A,N/A,N/A
batch_test_5030,0.01,-2.11,1.166,1.027,0.530,21.98,9.61,1.769,1.290,0.650,17.69,9.07,1.776,1.305,0.642,N/A,N/A,N/A,N/A,N/A
batch_test_5031,-0.00,-2.14,1.255,1.053,0.668,26.90,12.52,2.104,1.391,0.759,26.22,12.37,2.120,1.398,0.764,N/A,N/A,N/A,N/A,N/A
batch_test_5032,0.01,-2.16,1.202,1.027,0.715,22.18,7.34,1.777,1.311,0.827,15.72,6.75,1.644,1.228,0.814,N/A,N/A,N/A,N/A,N/A
batch_test_5033,0.00,-2.15,1.301,1.071,0.583,20.32,8.33,1.989,1.348,0.695,17.20,8.02,2.012,1.398,0.696,N/A,N/A,N/A,N/A,N/A
batch_test_5034,-0.02,-2.10,1.262,1.034,0.573,19.29,8.61,1.680,1.182,0.741,14.56,8.05,1.675,1.166,0.722,N/A,N/A,N/A,N/A,N/A
