Run_ID,Performance_Score,Gauss_PESQ_NB,Gauss_PESQ_WB,Gauss_STOI,Gauss_SINR,Gauss_SIR
batch_test_4380,0.6804655922545302,1.826,1.282,0.632,10.47,20.39
batch_test_4272,0.6804340281332307,2.356,1.539,0.822,9.47,17.18
batch_test_4386,0.6804257634573615,2.033,1.477,0.751,8.91,19.35
batch_test_3531,0.6804009657750104,2.065,1.462,0.826,10.42,18.73
batch_test_2217,0.6803802840384581,2.455,1.553,0.589,9.11,21.82
batch_test_1951,0.6803706590971353,2.062,1.366,0.782,7.99,17.53
batch_test_3251,0.6802648009980323,1.964,1.392,0.701,9.31,17.58
batch_test_2789,0.6802128930431103,1.783,1.336,0.762,10.55,18.83
batch_test_5761,0.6802113731369709,2.145,1.497,0.725,10.3,18.46
batch_test_6614,0.6801951050309567,1.977,1.394,0.786,8.74,15.4
batch_test_4671,0.6800143199813556,2.197,1.455,0.765,10.61,20.85
batch_test_5711,0.6799519994301882,1.926,1.41,0.752,9.4,18.89
batch_test_7317,0.6799489480673405,2.179,1.524,0.746,7.82,17.58
batch_test_1082,0.6799053503429479,2.139,1.425,0.794,7.98,16.38
batch_test_4077,0.6798444936993884,2.333,1.634,0.74,12.9,29.38
batch_test_2992,0.6797337346908956,1.815,1.286,0.693,9.81,17.44
batch_test_733,0.6797044865402414,2.106,1.52,0.817,10.06,21.4
batch_test_8122,0.6794660816609946,1.85,1.331,0.741,8.93,17.64
batch_test_9036,0.6794245237192168,2.456,1.606,0.695,9.83,22.75
batch_test_3452,0.6793435663648757,2.17,1.543,0.745,8.2,17.2
batch_test_8260,0.6793276019192032,1.976,1.372,0.826,7.19,14.72
batch_test_1885,0.6792716043944658,2.359,1.601,0.846,13.66,37.18
batch_test_9298,0.679136537832174,2.077,1.496,0.633,9.94,19.42
batch_test_5590,0.6791070531611583,2.158,1.714,0.838,13.21,36.66
batch_test_7440,0.6790810661076672,1.96,1.416,0.711,7.76,16.08
batch_test_9569,0.6790520293193244,1.869,1.431,0.765,8.84,17.41
batch_test_9269,0.6787949605529731,2.25,1.565,0.856,9.44,17.29
batch_test_2039,0.678755194353045,2.125,1.524,0.807,9.05,16.87
batch_test_3617,0.6787008444901701,2.205,1.507,0.807,9.44,18.67
batch_test_2231,0.6786851176828691,2.201,1.507,0.801,8.2,15.72
batch_test_8491,0.6786785145582024,1.986,1.402,0.655,9.91,20.66
batch_test_2678,0.6786600022000852,1.889,1.331,0.597,11.05,19.33
batch_test_8393,0.6784989685585948,1.944,1.384,0.742,9.7,19.18
batch_test_3872,0.6784442222273612,2.138,1.567,0.845,13.27,35.56
batch_test_9216,0.6784419739161096,1.698,1.195,0.684,9.99,19.85
batch_test_4038,0.6783951040209769,1.953,1.296,0.727,8.5,17.0
batch_test_2324,0.6782718461909666,2.018,1.391,0.773,10.09,18.5
batch_test_420,0.6781866345017552,2.077,1.504,0.709,10.81,24.5
batch_test_6395,0.6781523373591354,2.475,1.744,0.585,9.41,17.01
batch_test_4234,0.6781262279533214,2.159,1.575,0.78,11.45,21.51
batch_test_6407,0.6780006459287888,2.05,1.557,0.871,12.25,38.28
batch_test_2533,0.6779670081800956,2.219,1.482,0.766,7.7,16.67
batch_test_4613,0.6779549295144173,2.339,1.531,0.765,9.51,24.1
batch_test_9047,0.6778589428947819,2.131,1.524,0.787,13.9,24.59
batch_test_8976,0.6778349062971795,2.157,1.436,0.732,8.65,15.91
batch_test_300,0.6777957422049552,2.106,1.426,0.851,8.61,19.02
batch_test_9530,0.6777610212432699,2.023,1.41,0.772,7.51,15.33
batch_test_9373,0.677742159002738,1.937,1.379,0.8,9.5,18.36
batch_test_7537,0.6777341923603968,2.185,1.434,0.863,8.13,17.65
batch_test_7859,0.6776987012228272,2.009,1.388,0.706,9.88,17.7
batch_test_5915,0.6776801299985681,1.806,1.281,0.684,11.6,20.27
batch_test_291,0.6776453660359227,2.082,1.566,0.866,11.2,44.19
batch_test_070,0.6775731872950882,2.083,1.559,0.695,8.51,14.56
batch_test_4332,0.6774658101637038,2.097,1.491,0.787,10.97,19.25
batch_test_9138,0.6774445748359854,1.64,1.212,0.797,8.85,16.86
batch_test_3084,0.6774392690543092,1.994,1.547,0.782,9.65,17.8
batch_test_9495,0.6774387119111523,2.107,1.536,0.756,10.33,31.02
batch_test_7824,0.6774381109780186,2.22,1.644,0.834,11.51,30.04
batch_test_1201,0.6773643647798037,2.053,1.503,0.829,11.28,20.32
batch_test_3315,0.67734328793894,2.058,1.347,0.808,8.28,17.45
batch_test_2074,0.677261591149273,1.952,1.335,0.759,9.84,17.78
batch_test_1057,0.6772180285865735,2.183,1.482,0.857,9.94,28.69
batch_test_4044,0.6770970851925369,2.123,1.451,0.705,8.21,15.26
batch_test_8991,0.6770096406000597,2.057,1.338,0.605,9.04,19.09
batch_test_5563,0.6769651525354033,2.077,1.409,0.702,8.37,19.87
batch_test_9189,0.6768918855458191,1.968,1.36,0.797,8.97,17.08
batch_test_887,0.6768674221597318,1.956,1.364,0.659,10.28,19.84
batch_test_8287,0.6766008112224949,1.85,1.372,0.708,12.91,26.92
batch_test_5813,0.6764752056198318,2.136,1.591,0.837,11.84,53.84
batch_test_8211,0.6764740255330757,1.843,1.348,0.784,10.19,19.02
batch_test_4711,0.676382114554323,1.988,1.425,0.775,10.02,17.98
batch_test_8206,0.6763664864052659,1.912,1.336,0.808,9.77,17.35
batch_test_8551,0.6763487234974298,1.952,1.336,0.707,9.05,16.56
batch_test_4092,0.6763334092433128,2.106,1.282,0.667,8.79,18.11
batch_test_3910,0.6761454153999235,2.192,1.465,0.816,9.59,18.72
batch_test_5344,0.6760630843555265,2.237,1.491,0.782,8.81,16.28
batch_test_2643,0.6758434999733771,1.971,1.524,0.569,9.66,15.31
batch_test_3611,0.675799170413486,1.84,1.298,0.738,11.33,20.84
batch_test_160,0.6756985265653642,1.896,1.415,0.707,9.97,20.49
batch_test_5778,0.6756553443249251,2.05,1.437,0.702,9.32,17.12
batch_test_6077,0.6754886950499421,1.798,1.266,0.741,7.94,15.5
