Run_ID,Reverb_Base_SIR,Reverb_Base_SINR,Reverb_Base_PESQ_NB,Reverb_Base_PESQ_WB,Reverb_Base_STOI,Reverb_Oracle_SIR,Reverb_Oracle_SINR,Reverb_Oracle_PESQ_NB,Reverb_Oracle_PESQ_WB,Reverb_Oracle_STOI,NoReverb_Base_SIR,NoReverb_Base_SINR,NoReverb_Base_PESQ_NB,NoReverb_Base_PESQ_WB,NoReverb_Base_STOI,NoReverb_Oracle_SIR,NoReverb_Oracle_SINR,NoReverb_Oracle_PESQ_NB,NoReverb_Oracle_PESQ_WB,NoReverb_Oracle_STOI
batch_test_359,0.00,-2.13,1.334,1.038,0.609,27.03,5.89,1.538,1.063,0.803,0.00,-2.09,1.241,1.029,0.691,25.83,5.98,1.404,1.041,0.841
batch_test_360,-0.06,-2.19,1.427,1.063,0.667,26.25,8.92,2.049,1.473,0.909,-0.01,-2.12,1.365,1.048,0.784,30.66,9.45,1.922,1.234,0.927
batch_test_361,-0.00,-2.13,1.247,1.041,0.573,26.79,6.61,2.060,1.082,0.870,-0.00,-2.13,1.135,1.028,0.678,29.19,7.46,1.682,1.047,0.900
batch_test_362,0.00,-2.13,1.497,1.054,0.594,26.88,7.89,2.304,1.254,0.844,0.02,-2.16,1.444,1.049,0.719,33.03,7.61,2.024,1.217,0.882
batch_test_363,0.04,-2.11,1.311,1.058,0.539,31.53,9.16,2.130,1.265,0.861,-0.01,-2.13,1.170,1.046,0.617,35.68,9.73,1.751,1.139,0.859
batch_test_364,0.01,-2.13,1.404,1.104,0.567,34.00,11.06,2.157,1.468,0.771,0.01,-2.11,1.424,1.086,0.604,37.32,10.59,1.985,1.341,0.786
batch_test_365,0.01,-2.13,1.389,1.059,0.633,25.56,7.13,2.348,1.309,0.876,-0.01,-2.17,1.258,1.040,0.727,27.73,7.77,1.918,1.158,0.910
batch_test_366,0.04,-2.11,1.426,1.084,0.409,27.18,8.15,1.939,1.272,0.743,-0.02,-2.16,1.393,1.057,0.473,32.17,7.84,1.677,1.143,0.745
batch_test_367,0.04,-2.10,1.363,1.024,0.512,31.90,9.79,2.582,1.550,0.812,-0.03,-2.16,1.326,1.021,0.631,34.08,9.94,2.241,1.462,0.855
batch_test_368,-0.02,-2.14,1.193,1.180,0.507,31.54,7.32,1.750,1.123,0.758,0.01,-2.15,1.203,1.035,0.600,35.99,7.35,1.575,1.085,0.794
batch_test_369,-0.02,-2.13,1.385,1.112,0.583,28.92,7.99,1.629,1.093,0.803,0.03,-2.12,1.420,1.169,0.678,34.59,8.31,1.388,1.052,0.856
batch_test_370,0.00,-2.12,1.453,1.037,0.563,21.98,5.59,2.111,1.150,0.853,0.01,-2.10,1.413,1.021,0.631,24.33,5.94,1.914,1.088,0.846
batch_test_371,-0.01,-2.14,1.489,1.095,0.562,24.43,9.57,2.838,1.600,0.909,-0.00,-2.14,1.304,1.056,0.636,24.98,10.04,2.327,1.317,0.870
batch_test_372,0.05,-2.09,1.345,1.052,0.524,30.87,10.97,2.959,1.714,0.850,0.01,-2.12,1.244,1.035,0.549,32.98,11.43,2.631,1.636,0.823
batch_test_373,-0.00,-2.13,1.208,1.068,0.453,23.81,6.39,1.772,1.196,0.764,0.02,-2.11,1.181,1.038,0.592,27.09,7.17,1.520,1.088,0.806
batch_test_374,-0.01,-2.17,1.178,1.043,0.457,24.71,7.64,1.995,1.252,0.778,-0.00,-2.11,1.235,1.032,0.562,27.52,8.09,1.777,1.163,0.814
batch_test_375,0.03,-2.12,1.863,1.161,0.687,26.59,5.52,2.539,1.372,0.904,0.05,-2.07,1.779,1.130,0.711,26.92,5.91,2.370,1.301,0.910
batch_test_376,-0.02,-2.12,1.465,1.058,0.492,26.10,5.85,1.992,1.382,0.730,-0.04,-2.14,1.422,1.041,0.530,27.48,5.80,1.899,1.154,0.758
batch_test_377,0.01,-2.12,1.390,1.041,0.636,41.43,6.83,2.133,1.391,0.843,-0.01,-2.14,1.350,1.035,0.736,47.34,7.03,1.906,1.233,0.885
batch_test_378,0.03,-2.09,1.287,1.058,0.678,41.43,8.80,1.859,1.372,0.847,-0.01,-2.15,1.239,1.039,0.764,44.59,9.17,1.738,1.269,0.879
batch_test_379,0.01,-2.12,1.305,1.079,0.529,20.93,5.84,1.931,1.192,0.810,0.00,-2.13,1.169,1.029,0.628,24.78,6.47,1.682,1.101,0.827
batch_test_380,0.02,-2.12,1.367,1.048,0.643,27.59,7.39,2.150,1.180,0.874,-0.02,-2.15,1.287,1.033,0.734,31.21,7.78,1.806,1.126,0.900
batch_test_381,0.03,-2.09,1.323,1.029,0.656,30.22,6.22,1.717,1.107,0.841,-0.01,-2.15,1.232,1.016,0.675,34.18,6.76,1.502,1.059,0.801
batch_test_382,-0.01,-2.13,1.521,1.062,0.548,27.57,6.83,2.404,1.498,0.854,0.02,-2.11,1.441,1.045,0.633,30.12,6.95,2.196,1.297,0.881
batch_test_383,-0.01,-2.14,1.325,1.043,0.506,23.99,6.84,2.246,1.213,0.833,-0.01,-2.13,1.223,1.036,0.626,24.97,7.11,1.932,1.133,0.873
batch_test_384,0.01,-2.11,1.698,1.104,0.477,26.07,8.44,2.657,1.546,0.784,-0.01,-2.13,1.533,1.073,0.563,29.49,8.86,2.298,1.339,0.868
batch_test_385,0.07,-2.06,1.524,1.038,0.501,28.13,9.34,2.106,1.467,0.797,0.01,-2.11,1.292,1.033,0.609,33.43,9.42,1.943,1.325,0.833
batch_test_386,0.03,-2.11,1.297,1.056,0.597,27.08,8.26,2.002,1.320,0.854,-0.01,-2.15,1.212,1.047,0.692,33.37,8.45,1.688,1.130,0.881
batch_test_387,0.05,-2.11,1.325,1.051,0.577,27.58,6.84,1.862,1.136,0.817,-0.03,-2.16,1.323,1.050,0.646,30.77,6.93,1.705,1.062,0.828
batch_test_388,0.03,-2.14,1.456,1.091,0.614,29.96,8.83,2.591,1.716,0.842,0.02,-2.11,1.403,1.071,0.625,26.51,9.20,2.397,1.598,0.835
batch_test_389,-0.00,-2.12,1.346,1.073,0.700,23.70,5.41,1.832,1.157,0.888,-0.00,-2.11,1.253,1.040,0.791,28.06,6.49,1.593,1.088,0.923
batch_test_390,-0.02,-2.16,1.352,1.062,0.535,27.07,6.90,2.118,1.226,0.820,-0.02,-2.14,1.319,1.047,0.618,29.79,7.09,1.907,1.234,0.869
